parca_no,aylik_ort,aylik_std,tedarik_suresi,birim_maliyet,siparis_maliyeti,elde_tutma_maliyeti_aylik,stoksuz_kalma_cezasi,mevcut_SS,mevcut_r,mevcut_Q,baslangic_stok
Part-679,52.7,64.3,7,96.02,150,1.4483,199.61,61,69,133,95
Part-680,194.2,121.2,7,34.28,200,0.8227,89.34,115,190,376,358
Part-681,116.8,192.8,20,6337.45,100,152.6269,17663.98,310,484,14,163
Part-682,80.3,75.7,14,284.63,100,4.3169,622.95,102,160,54,84
Part-683,76.9,50.3,20,146.43,75,2.9896,540.45,81,124,52,108
Part-684,1287.2,387.6,20,6963.26,100,104.4489,16574.6,624,1488,56,2154
Part-685,265.7,183.4,20,41.59,75,0.967,146.95,295,526,256,385
Part-686,78.8,145.9,20,4473.0,100,61.5038,11481.94,235,377,17,138
Part-687,70.8,99.1,20,6104.11,300,152.0941,29343.53,160,205,18,96
Part-688,161.6,225.8,20,110.9,500,2.2365,323.97,364,561,243,264
Part-689,287.6,247.0,20,152.73,150,1.9473,348.04,398,605,246,341
Part-690,118.2,132.0,20,3060.89,75,71.9309,13799.91,213,307,14,207
Part-691,100.6,170.6,20,387.8,100,8.1761,1243.33,275,438,46,155
Part-692,84.0,261.4,20,407.81,150,8.666,1818.98,421,565,53,101
Part-693,64.7,194.8,14,164.51,100,2.6185,483.24,262,258,72,84
Part-694,304.7,262.4,20,484.94,75,8.1227,1697.34,423,708,66,533
Part-695,473.6,200.0,20,359.09,75,8.5882,1197.95,322,629,74,702
Part-696,100.2,44.2,14,37.27,100,0.7609,136.92,60,128,176,122
Part-697,73.2,154.5,20,241.48,75,3.0789,773.93,249,349,55,144
Part-698,62.7,142.1,20,333.95,75,5.538,1165.62,229,247,44,108
Part-699,1685.2,520.4,20,88.48,300,1.7696,357.28,838,2272,631,3298
Part-700,158.8,361.6,7,451.38,200,6.4698,1464.3,344,389,100,227
Part-701,124.2,44.3,14,378.28,50,5.2014,1533.25,60,172,51,183
Part-702,51.4,172.9,7,45.31,100,0.6004,187.72,165,227,102,98
Part-703,87.4,160.0,14,6687.3,150,136.5324,28399.49,216,225,13,133
Part-704,104.9,101.3,20,205.16,50,3.3851,700.17,163,300,46,179
Part-705,49.3,89.8,14,228.97,150,3.9307,460.54,121,149,48,62
Part-706,89.4,68.2,20,392.64,100,5.2025,1672.86,110,190,76,129
Part-707,52.4,131.1,20,323.78,100,7.0422,1530.59,211,297,36,59
Part-708,61.3,170.2,7,7775.4,100,171.7068,30773.9,162,222,10,74
Part-709,105.0,87.9,7,133.51,100,3.0485,477.12,84,146,74,105
Part-710,77.0,58.3,20,260.86,300,5.3911,959.64,94,177,105,80
Part-711,599.2,777.4,20,4927.81,200,109.2331,19329.02,1252,1750,55,1185
Part-712,61.0,178.5,14,7624.78,300,150.5894,38090.15,240,324,17,76
Part-713,61.9,91.7,20,304.51,150,5.6842,665.71,148,189,58,103
Part-714,42.8,144.1,20,5897.82,150,92.8907,12170.44,232,288,12,79
Part-715,253.9,226.3,14,778.65,100,10.2522,3809.55,305,456,66,394
Part-716,133.7,80.2,20,2349.15,150,37.9779,7802.52,129,280,40,154
Part-717,134.9,30.1,14,147.88,300,3.1178,567.42,41,118,194,233
Part-718,81.2,96.0,20,3741.92,50,90.1179,15941.79,155,206,12,130
Part-719,68.2,126.4,20,305.43,100,4.7851,1290.84,204,325,43,118
Part-720,99.9,43.9,7,28.26,75,0.5888,111.39,42,63,184,177
Part-721,88.2,105.8,20,37.28,200,0.6897,127.34,170,261,286,174
Part-722,99.7,38.6,20,127.42,150,2.5909,475.05,62,141,91,157
Part-723,73.4,80.9,20,101.19,300,1.2649,423.88,130,164,147,98
Part-724,55.3,96.4,7,190.19,50,2.6627,865.83,92,90,53,91
Part-725,117.1,42.1,20,188.79,300,2.879,449.68,68,157,166,125
Part-726,231.5,115.3,20,62.84,50,1.4872,178.08,186,483,152,439
Part-727,96.7,99.8,7,6599.65,100,85.7954,21071.26,95,118,12,108
Part-728,252.1,385.2,20,6293.74,75,123.2524,25152.9,620,1056,21,335
Part-729,129.0,123.1,20,178.73,75,4.3044,569.62,198,341,58,234
Part-730,49.6,128.6,14,7283.07,75,150.5168,19785.59,173,205,6,79
Part-731,126.8,111.7,20,136.75,100,2.5413,287.1,180,319,84,177
Part-732,71.1,239.5,14,323.46,200,5.6066,1464.47,323,382,85,105
Part-733,89.7,84.9,14,53.64,300,1.0907,174.69,114,199,248,166
Part-734,314.0,251.6,14,11.08,150,0.205,33.1,339,508,704,421
Part-735,131.5,69.8,20,251.71,75,5.3698,904.26,112,228,58,246
Part-736,55.8,93.3,14,233.43,50,4.727,552.94,126,196,42,61
Part-737,119.2,119.3,20,99.8,100,1.9544,318.57,192,375,106,212
Part-738,44.4,149.4,20,146.86,200,3.5981,624.94,241,340,84,82
Part-739,113.8,103.9,7,20.18,150,0.4625,84.92,99,135,270,134
Part-740,64.2,32.1,20,741.48,150,14.8914,3200.0,52,130,34,92
Part-741,38.2,69.2,7,154.13,50,2.967,524.39,66,80,36,45
Part-742,49.2,72.9,7,113.63,100,2.4525,353.02,69,88,58,84
Part-743,813.7,235.1,14,3838.24,150,86.6803,17250.28,317,766,62,1249
Part-744,173.0,129.0,20,2774.93,150,44.8614,6992.47,208,397,35,283
Part-745,59.0,64.8,7,7424.6,50,154.6792,31000.77,62,72,5,71
Part-746,177.8,65.2,20,135.06,75,1.9134,629.9,105,260,147,215
Part-747,51.6,60.3,7,831.82,300,14.9034,2377.72,57,89,44,54
Part-748,54.7,111.2,20,10.69,150,0.2592,27.72,179,206,264,72
Part-749,871.8,444.9,20,7346.16,200,121.8238,25987.58,716,1287,67,1360
Part-750,60.4,73.7,14,1848.29,100,26.6462,4896.44,99,116,23,112
Part-751,43.1,100.2,20,210.17,150,3.0124,969.37,161,247,54,72
Part-752,44.4,149.6,14,225.49,100,3.9273,616.32,202,237,61,64
Part-753,70.8,65.8,14,264.46,100,4.0551,778.01,89,134,65,138
Part-754,61.5,43.6,20,241.77,100,4.3116,1127.92,70,150,50,106
Part-755,109.8,31.8,20,390.67,100,8.3994,1022.33,51,183,42,212
Part-756,55.8,80.8,20,246.77,100,5.8197,1148.55,130,174,52,85
Part-757,539.3,155.2,14,98.47,100,1.3704,258.92,209,633,307,679
Part-758,38.1,128.9,20,1716.24,150,37.9003,8127.11,208,280,18,40
Part-759,43.2,145.5,14,459.54,100,6.357,1356.99,196,246,46,75
Part-760,65.1,55.9,20,6953.2,75,119.9427,19042.76,90,132,11,73
Part-761,306.5,239.8,20,7360.97,200,183.4108,25259.68,386,810,22,399
Part-762,52.4,93.2,7,6162.74,200,82.1699,19151.77,89,111,15,80
Part-763,80.5,60.6,20,4925.8,300,62.804,12832.94,98,161,25,126
Part-764,37.7,59.7,7,97.65,150,1.6275,294.42,57,68,96,60
Part-765,80.3,79.7,20,158.69,100,3.8747,656.93,128,167,49,94
Part-766,49.9,168.0,20,2824.17,300,36.0082,12696.63,271,273,31,69
Part-767,196.8,108.0,20,330.14,100,5.0346,1473.18,174,413,103,318
Part-768,82.9,281.0,20,347.28,150,6.9456,1483.04,452,425,74,163
Part-769,370.5,228.0,7,7800.42,75,120.2565,15728.03,217,337,20,640
Part-770,62.4,28.7,20,6473.48,150,85.2342,21231.8,46,110,18,120
Part-771,87.4,47.7,7,385.32,200,5.0734,965.97,45,62,67,154
Part-772,235.9,580.3,7,463.08,150,9.0301,1028.24,553,781,108,375
Part-773,303.3,283.7,7,457.66,100,8.9244,1925.67,270,335,67,362
Part-774,159.6,289.7,20,278.05,500,5.9317,1217.98,466,579,159,266
Part-775,176.1,184.1,20,5028.08,50,71.2311,22344.03,296,435,19,286
Part-776,69.3,162.2,7,7804.25,100,146.3297,36453.12,155,161,8,111
Part-777,111.5,74.8,14,204.36,300,4.0872,770.47,101,140,112,166
Part-778,101.4,286.7,14,367.76,150,5.6083,1836.74,386,512,85,155
Part-779,46.9,101.7,14,2609.71,150,50.4544,9006.55,137,207,19,63
Part-780,192.9,173.9,20,315.54,150,6.7315,1467.42,280,418,103,293
Part-781,111.8,126.7,20,422.44,100,10.5258,988.01,204,340,52,134
Part-782,150.4,99.5,20,24.97,50,0.4973,61.1,160,344,182,271
Part-783,41.1,121.7,20,2559.15,100,59.5002,9650.68,196,278,11,49
Part-784,383.3,149.7,20,6954.52,100,159.3744,16498.93,241,600,21,416
Part-785,121.0,372.7,20,28.16,100,0.6829,62.68,600,669,160,174
Part-786,36.2,80.7,14,2316.96,100,49.8146,5996.74,109,126,15,60
Part-787,33.8,48.7,14,5823.0,150,88.3155,25403.48,66,99,12,49
Part-788,42.1,120.9,20,385.47,75,6.2639,1843.46,195,274,31,54
Part-789,159.4,68.9,20,403.24,75,9.0057,1209.88,111,232,52,248
Part-790,65.9,50.0,20,5854.92,100,111.2435,28831.19,81,138,14,89
Part-791,1164.5,521.1,7,263.57,100,4.1293,1167.26,496,1067,198,2251
Part-792,51.5,174.3,14,341.83,100,7.093,915.53,235,313,41,99
Part-793,93.6,97.9,20,146.79,150,3.4985,551.69,158,307,93,141
Part-794,32.8,110.5,20,128.6,100,2.1862,635.98,178,238,60,44
Part-795,170.9,123.6,14,306.43,75,6.1031,1393.14,167,274,49,297
Part-796,111.1,113.6,20,368.63,300,7.2804,1139.1,183,308,118,115
Part-797,91.0,97.8,20,201.58,75,2.8389,588.41,157,268,87,134
Part-798,2018.2,826.0,20,203.14,500,2.7762,905.55,1330,2716,905,2697
Part-799,141.3,102.8,20,4389.42,500,103.5172,16010.39,166,314,42,271
Part-800,35.6,80.7,20,261.64,150,6.323,651.57,130,184,52,36
Part-801,109.9,40.9,14,2143.3,150,51.082,6394.53,55,112,28,171
Part-802,39.2,132.5,20,432.11,200,7.5259,1722.15,213,289,38,68
Part-803,52.0,77.2,20,321.63,300,5.1729,791.04,124,185,83,77
Part-804,109.9,149.3,20,9.52,200,0.2309,39.0,240,424,472,119
Part-805,79.7,47.5,7,151.48,75,3.5598,625.58,45,59,57,157
Part-806,80.5,45.1,20,211.73,50,4.8169,595.44,73,137,47,122
Part-807,70.2,33.7,20,328.14,75,5.469,1048.11,54,130,56,113
Part-808,187.3,158.0,20,200.78,75,4.116,965.02,254,404,105,232
Part-809,107.1,45.8,14,2685.15,75,58.8495,11405.25,62,149,17,159
Part-810,38.5,67.4,20,333.14,150,6.5518,1453.63,109,166,34,55
Part-811,61.8,208.9,14,3142.92,150,62.8584,11153.58,281,273,22,66
Part-812,80.1,62.5,7,519.75,200,11.4345,1371.84,60,89,64,89
Part-813,45.2,108.3,20,4997.96,75,110.3716,18861.14,174,223,7,83
Part-814,39.5,102.1,14,36.08,50,0.5592,155.73,138,158,106,49
Part-815,51.8,71.4,14,90.42,150,1.5748,181.89,96,160,122,62
Part-816,80.4,60.4,20,6115.73,100,136.075,14318.93,97,204,11,121
Part-817,50.2,65.7,20,417.01,150,6.5679,1427.38,106,172,52,89
Part-818,58.6,77.1,20,315.42,100,7.5438,1044.54,124,202,38,62
Part-819,481.0,153.2,20,4118.84,200,94.7333,20375.28,247,710,35,758
Part-820,237.5,80.9,20,332.71,150,7.8741,757.4,130,432,89,266
Part-821,99.3,226.2,20,328.53,150,5.3386,976.08,364,511,89,103
Part-822,69.9,35.3,20,284.92,50,3.9414,1266.56,57,139,32,74
Part-823,121.8,409.8,20,6710.28,300,92.2664,25749.24,660,922,26,223
Part-824,63.4,85.3,20,1683.58,100,32.6895,6203.73,137,183,19,71
Part-825,105.9,155.3,20,7863.79,75,128.4419,33213.53,250,408,12,111
Part-826,45.8,19.8,14,5628.56,200,89.1189,11932.26,27,51,18,66
Part-827,1126.4,899.1,20,103.75,100,1.5822,502.41,1448,2409,355,2077
Part-828,52.2,54.5,20,229.61,50,4.4774,590.97,88,130,32,66
Part-829,45.2,26.6,7,418.29,200,8.0869,939.28,25,50,54,64
Part-830,30.4,33.5,20,416.27,100,7.3888,1255.83,54,98,29,32
Part-831,61.2,61.3,20,16.88,200,0.2405,69.33,99,175,279,89
Part-832,58.0,73.7,20,115.41,200,2.7795,310.97,119,196,91,92
Part-833,54.7,71.8,14,214.82,50,3.831,461.77,97,140,31,86
Part-834,26.2,63.2,20,28.34,150,0.3991,61.56,102,156,119,35
Part-835,86.2,92.6,20,134.01,100,1.7421,371.17,149,236,101,113
Part-836,151.8,201.7,14,2929.75,150,42.2372,7048.46,272,362,32,168
Part-837,58.5,89.4,20,111.21,50,1.8072,346.67,144,175,71,80
Part-838,133.6,43.1,20,201.35,150,4.1109,507.24,69,227,94,147
Part-839,76.0,43.3,20,407.44,200,10.0502,1235.74,70,161,59,134
Part-840,45.2,25.3,20,6911.41,500,110.0066,23038.92,41,82,22,89
Part-841,44.7,20.4,20,293.12,100,6.5463,1239.2,33,61,28,88
Part-842,79.1,63.0,20,281.0,75,6.7206,753.7,101,208,47,148
Part-843,184.5,138.9,20,409.87,100,7.1386,1403.88,224,321,61,295
Part-844,38.5,98.0,14,200.03,50,3.1338,889.35,132,176,45,65
Part-845,26.9,61.8,20,115.67,100,2.1592,573.62,100,155,42,35
Part-846,229.2,185.9,14,446.3,300,10.5996,1638.78,250,402,111,374
Part-847,49.0,37.9,20,417.31,75,5.2859,1375.85,61,98,29,71
Part-848,111.9,104.0,7,5336.97,100,99.1787,20785.36,99,152,19,166
Part-849,280.9,105.9,20,51.15,150,1.1253,176.92,171,511,281,494
Part-850,1199.3,572.6,20,7733.24,75,154.6648,19288.79,922,2159,37,1537
Part-851,27.6,71.3,20,95.4,100,1.7888,322.29,115,174,44,36
Part-852,861.0,142.3,14,102.34,300,1.9871,505.28,192,631,593,1657
Part-853,55.6,53.6,20,72.44,100,1.4669,284.06,86,143,75,59
Part-854,29.4,42.0,14,1585.2,150,33.2892,4518.29,57,85,20,44
Part-855,953.3,367.6,20,172.25,75,2.9139,833.94,592,1782,192,1823
Part-856,78.7,78.1,20,378.45,150,7.1906,1198.08,126,177,49,127
Part-857,26.4,30.3,20,356.21,100,5.6697,1129.32,49,86,24,41
Part-858,83.0,64.3,20,56.67,75,1.4073,218.17,104,192,95,104
Part-859,26.2,24.0,14,488.67,75,7.2486,1811.46,32,49,24,35
Part-860,61.4,48.9,20,377.31,50,5.4396,1083.37,79,118,27,114
Part-861,587.0,403.9,14,6287.06,500,99.5451,21383.81,544,1112,91,915
Part-862,65.2,74.6,14,5990.82,100,143.7797,17957.72,101,125,10,99
Part-863,27.8,93.9,20,48.34,200,1.0031,203.67,151,167,109,31
Part-864,24.6,59.7,20,367.24,300,6.6715,869.44,96,112,47,25
Part-865,24.5,82.5,20,121.96,75,2.9372,518.42,133,186,34,48
Part-866,25.3,63.1,20,2967.1,300,70.4686,7368.8,102,139,16,35
Part-867,26.4,69.1,20,213.8,200,3.7415,623.86,111,158,44,42
Part-868,130.6,297.4,14,355.81,150,6.9679,1067.43,401,445,64,141
Part-869,34.9,50.3,20,1462.88,200,34.8653,7272.32,81,123,24,59
Part-870,34.6,117.0,7,243.91,75,4.0245,919.41,111,130,46,67
Part-871,1784.8,548.8,14,100.37,100,1.7648,434.87,739,2266,430,2812
Part-872,82.3,84.9,20,5124.44,75,114.8729,18786.88,137,260,9,93
Part-873,77.7,108.8,20,182.68,300,3.882,904.17,175,201,121,123
Part-874,86.1,134.7,20,219.79,50,2.8756,556.54,217,330,54,152
Part-875,62.6,25.2,20,235.53,500,3.2974,898.46,41,82,105,88
Part-876,399.7,501.3,20,3738.72,75,86.3021,16421.0,807,1244,22,751
Part-877,41.5,139.9,20,51.22,150,0.6573,199.02,225,246,158,68
Part-878,78.6,76.8,20,134.0,150,3.216,628.57,124,187,96,149
Part-879,43.1,32.2,14,62.3,300,0.9916,236.87,43,69,123,70
Part-880,50.5,38.3,14,130.13,100,2.6026,582.89,52,92,54,57
Part-881,25.9,39.1,20,6521.38,100,127.7104,16482.08,63,84,5,34
Part-882,25.2,85.0,7,178.62,200,3.111,497.67,81,101,64,30
Part-883,64.4,61.4,20,1576.43,500,20.3622,5252.99,99,157,43,123
Part-884,87.3,136.3,20,446.61,50,6.6619,2034.24,219,252,29,154
Part-885,203.7,48.9,20,429.79,150,8.6674,1409.57,79,315,100,341
Part-886,30.3,102.1,20,153.71,75,2.7796,596.76,164,179,34,39
Part-887,89.2,91.3,20,6904.93,200,121.9871,22009.01,147,231,19,106
Part-888,27.7,93.5,7,478.12,200,6.5742,2111.93,89,109,36,49
Part-889,24.6,57.1,20,7013.2,200,118.0555,18240.37,92,109,7,36
Part-890,130.0,296.9,20,7154.32,100,136.5283,27052.69,478,497,12,159
Part-891,43.4,41.2,7,3847.25,75,51.9379,14364.36,39,52,13,70
Part-892,123.1,35.4,14,1075.0,150,14.3333,3450.45,48,159,62,128
Part-893,429.7,182.4,20,156.32,200,2.918,643.32,294,765,293,570
Part-894,50.5,61.1,14,26.51,300,0.5169,55.28,82,128,234,74
Part-895,99.5,62.7,20,56.46,100,0.8892,255.45,101,213,168,114
Part-896,106.5,43.0,20,287.79,75,4.7725,876.0,69,152,50,211
Part-897,384.0,567.3,20,267.49,75,6.0185,1171.36,913,1264,89,464
Part-898,25.0,57.2,20,152.73,200,3.5637,445.24,92,132,66,28
Part-899,29.0,74.8,7,128.11,150,2.1245,328.44,71,68,48,35
Part-900,56.0,92.6,20,356.14,150,6.0247,1128.42,149,187,42,99
Part-901,192.8,67.8,20,173.55,75,3.9772,762.25,109,271,73,275
Part-902,30.7,43.2,20,303.96,50,7.4977,1249.44,70,98,15,48
Part-903,20.8,23.5,20,357.59,500,5.9002,1145.39,38,72,50,21
Part-904,27.8,63.6,20,6733.21,200,150.375,32411.02,102,107,10,29
Part-905,34.4,41.1,20,100.74,100,1.8637,325.02,66,102,60,50
Part-906,144.2,123.3,20,2895.36,100,45.8432,8837.39,199,296,31,262
Part-907,147.1,182.8,7,4821.68,300,101.2553,11736.72,174,276,36,277
Part-908,29.0,64.0,7,1655.88,75,30.2198,3660.88,61,60,11,32
Part-909,29.1,66.3,14,419.16,200,6.6367,1278.32,89,107,37,45
Part-910,46.3,51.5,20,6754.92,50,93.4431,15374.24,83,144,7,89
Part-911,160.6,39.7,20,316.59,300,7.3871,1072.58,64,242,123,223
Part-912,20.2,27.8,20,182.22,150,4.2822,834.57,45,63,34,37
Part-913,34.5,52.6,20,421.58,100,5.6562,1445.32,85,113,38,39
Part-914,42.9,62.9,20,135.53,200,2.8235,466.46,101,139,76,83
Part-915,86.8,292.1,20,5985.28,50,86.7866,16521.3,470,508,11,152
Part-916,262.7,118.5,20,5.89,75,0.1212,14.72,191,394,564,510
Part-917,136.0,95.8,20,470.22,100,11.2069,1254.07,154,289,45,228
Part-918,49.6,84.5,20,474.41,150,7.472,1757.2,136,169,57,68
Part-919,55.0,67.7,20,356.66,75,6.0038,1346.53,109,150,43,107
Part-920,32.6,31.2,7,214.5,100,4.8084,570.69,30,45,31,42
Part-921,32.8,35.2,20,93.41,100,2.0239,298.61,57,109,70,44
Part-922,20.9,53.8,20,248.77,150,4.3742,921.95,87,115,39,36
Part-923,34.0,61.5,20,396.75,300,9.1583,1698.64,99,109,58,60
Part-924,28.6,44.2,20,304.61,75,7.3106,901.43,71,82,29,55
Part-925,24.1,41.8,20,266.11,75,4.8343,748.85,67,111,27,29
Part-926,87.7,98.2,20,425.47,150,5.5311,1783.32,158,226,53,158
Part-927,67.5,173.4,20,160.0,100,3.0133,566.63,279,289,60,117
Part-928,41.9,142.4,7,430.68,200,9.3673,1968.31,136,160,44,45
Part-929,53.9,30.8,20,222.53,100,3.3936,585.92,50,109,62,75
Part-930,51.3,28.4,20,5233.61,150,71.9621,22571.66,46,104,13,66
Part-931,18.5,19.7,7,367.31,100,5.9076,913.17,19,23,21,24
Part-932,18.2,21.9,20,439.53,100,5.5674,1650.13,35,43,31,36
Part-933,36.4,42.9,14,1200.73,200,25.7156,3423.16,58,101,31,60
Part-934,59.0,44.5,20,230.1,200,3.2981,529.98,72,117,88,101
Part-935,52.5,28.2,7,403.7,100,8.7132,1554.36,27,49,30,104
Part-936,20.6,38.3,20,6094.7,150,93.96,21455.76,62,91,7,28
Part-937,59.3,166.7,20,487.34,75,12.1429,1685.19,268,349,21,107
Part-938,23.1,77.7,7,176.1,200,3.3752,665.23,74,77,65,33
Part-939,37.2,64.6,20,299.37,100,3.8918,933.23,104,128,36,70
Part-940,137.0,96.7,20,412.34,75,9.1402,1653.69,156,306,50,162
Part-941,28.2,38.3,20,268.27,300,4.7394,641.84,62,106,54,55
Part-942,18.5,36.5,20,233.62,100,4.6919,968.33,59,93,30,23
Part-943,54.7,47.4,20,792.31,150,19.3456,2962.8,76,109,32,73
Part-944,255.7,213.3,20,181.65,200,3.4514,628.4,343,510,207,449
Part-945,20.9,50.9,14,100.08,150,2.2601,238.49,69,102,46,29
Part-946,27.8,46.6,20,37.98,150,0.6172,107.67,75,115,88,45
Part-947,46.1,77.4,20,306.94,100,6.5736,885.79,125,202,31,67
Part-948,16.7,38.2,14,192.67,300,2.6492,520.49,51,56,77,29
Part-949,17.5,21.2,20,442.06,75,10.4621,2149.53,34,54,20,21
Part-950,15.6,35.4,20,115.36,300,1.7304,547.61,57,80,80,17
Part-951,26.9,47.1,20,158.8,200,2.5805,577.78,76,112,70,35
Part-952,42.0,36.3,20,485.4,150,11.8923,1270.3,58,96,37,62
Part-953,21.6,17.3,14,280.36,100,4.0419,1327.06,23,31,28,25
Part-954,152.4,232.8,7,3309.26,75,51.8451,14058.46,222,290,26,206
Part-955,17.5,50.3,20,431.14,100,8.515,912.43,81,90,20,24
Part-956,59.0,39.7,20,372.97,200,9.231,1295.0,64,120,49,62
Part-957,40.7,37.0,20,5804.55,200,122.863,22143.39,60,121,12,64
Part-958,139.9,85.7,20,638.33,150,8.8834,1403.96,138,265,54,264
Part-959,33.3,28.3,20,51.51,500,1.1246,110.72,46,91,145,38
Part-960,66.8,54.4,14,200.27,500,3.5715,679.03,73,104,158,107
Part-961,17.2,57.1,20,4391.4,100,109.419,8808.51,92,119,5,29
Part-962,255.1,369.4,7,196.04,75,3.9861,419.62,352,542,106,362
Part-963,27.1,22.7,20,463.73,100,8.8882,1157.2,37,52,22,46
Part-964,31.2,43.3,20,80.5,200,1.5698,380.76,70,80,86,44
Part-965,66.6,88.5,20,2835.45,100,58.1267,12189.18,143,205,14,100
Part-966,47.0,43.6,20,6373.03,100,138.0823,21357.8,70,97,8,47
Part-967,34.6,24.7,20,3777.45,200,50.9956,12985.43,40,83,18,59
Part-968,225.8,253.0,20,101.7,150,1.4408,412.71,407,754,198,375
Part-969,30.6,40.5,14,9.88,500,0.1606,33.82,55,75,464,32
Part-970,37.7,37.2,20,488.37,150,9.0348,1070.4,60,88,35,52
Part-971,24.4,43.1,14,3723.64,500,61.1298,15699.59,58,74,22,48
Part-972,14.5,21.2,20,6081.87,100,92.2417,13217.42,34,54,8,21
Part-973,15.4,35.5,20,1867.25,300,44.9696,6457.47,57,58,16,23
Part-974,20.7,40.1,20,247.02,100,3.1907,1132.62,65,89,31,40
Part-975,36.1,77.3,20,435.27,200,10.5553,1023.82,124,171,28,62
Part-976,214.4,151.1,14,300.54,300,7.1629,1238.19,204,376,120,339
Part-977,298.2,237.2,20,414.08,150,8.7302,885.71,382,605,109,536
Part-978,347.0,175.9,20,456.44,200,5.8957,2272.7,283,688,119,647
Part-979,35.9,82.0,20,285.15,500,4.3723,1153.79,132,140,93,52
Part-980,102.0,99.9,20,5966.21,100,147.6637,29276.01,161,230,13,150
Part-981,70.8,233.0,20,4453.54,150,106.1427,17834.97,375,529,13,98
Part-982,56.6,73.3,20,426.18,300,10.4769,1162.13,118,195,67,111
Part-983,37.5,53.6,20,293.89,150,7.3228,1404.53,86,98,32,64
Part-984,115.5,36.4,20,448.38,300,5.9784,1739.72,59,154,85,125
Part-985,13.4,44.8,14,448.24,150,8.8154,1670.95,60,62,24,25
Part-986,33.0,35.0,20,189.81,200,4.3498,623.97,56,81,56,49
Part-987,26.1,35.0,20,5822.56,50,96.0722,16616.32,56,74,6,28
Part-988,33.0,64.6,20,340.57,100,6.1019,1222.72,104,112,33,51
Part-989,40.5,36.4,7,59.98,200,0.9647,185.83,35,48,115,57
Part-990,25.1,37.1,20,235.45,100,3.0608,1074.14,60,95,48,47
Part-991,17.4,31.5,20,6643.74,100,89.1368,13861.47,51,72,7,21
Part-992,14.4,29.6,20,4330.02,500,55.2078,15545.96,48,67,18,26
Part-993,36.7,68.7,20,3245.69,150,61.9386,14637.07,111,122,12,57
Part-994,22.9,36.4,20,75.07,75,1.5202,156.36,59,98,52,24
Part-995,16.7,24.8,20,335.33,100,5.4771,954.65,40,66,24,33
Part-996,37.5,44.9,14,3802.14,150,86.8155,8191.97,60,99,9,57
Part-997,78.9,131.3,20,381.24,500,8.9909,1443.0,211,336,118,102
Part-998,17.4,30.7,20,349.41,200,4.9791,1030.83,49,81,31,26
Part-999,30.9,12.2,20,112.48,150,1.481,548.81,20,51,101,57
Part-1000,24.1,32.1,14,149.15,100,2.461,574.06,43,53,44,31
Part-1001,55.4,33.9,7,86.79,300,1.8588,319.86,32,55,114,66
Part-1002,16.2,54.0,14,5658.64,150,106.5711,26888.27,73,95,7,18
Part-1003,13.0,43.9,20,263.3,100,4.893,703.2,71,94,28,17
Part-1004,153.9,88.6,20,3863.98,100,55.7057,14245.44,143,299,28,274
Part-1005,55.1,21.7,14,4268.46,100,72.2081,15487.46,29,55,14,81
Part-1006,79.6,66.5,20,278.6,500,6.8257,625.83,107,177,120,98
Part-1007,69.5,61.6,14,395.7,200,6.628,1897.85,83,157,73,81
Part-1008,15.9,28.0,20,399.63,100,7.9593,1638.76,45,64,24,21
Part-1009,126.2,109.3,7,1062.3,75,14.0755,4954.9,104,152,33,245
Part-1010,31.8,72.8,20,147.7,75,1.9693,730.76,117,136,50,43
Part-1011,47.0,59.7,20,1127.59,100,20.1087,3877.74,96,136,19,93
Part-1012,17.7,14.4,7,403.7,100,8.1076,1780.71,14,24,27,26
Part-1013,30.9,33.1,20,5533.68,100,94.9948,20655.45,53,91,10,36
Part-1014,339.3,403.8,20,7549.5,300,111.3551,37229.37,650,1123,33,642
Part-1015,29.8,24.9,20,132.43,500,2.8693,363.08,40,68,116,44
Part-1016,77.0,89.6,20,227.68,100,3.2444,464.8,144,236,87,132
Part-1017,19.6,23.7,20,273.18,100,5.6912,698.75,38,52,22,39
Part-1018,21.4,39.9,20,263.66,200,6.4597,628.58,64,95,38,22
Part-1019,28.0,45.4,20,4605.96,100,84.8264,15249.67,73,99,10,31
Part-1020,1568.8,5277.6,20,6343.7,75,95.1555,14160.6,8498,9983,38,2699
Part-1021,15.2,38.5,20,814.94,75,18.7436,2168.22,62,83,12,19
Part-1022,21.5,40.3,20,150.28,100,2.8303,343.96,65,104,36,25
Part-1023,63.1,32.1,20,175.99,50,4.2238,608.97,52,93,49,66
Part-1024,93.6,225.5,14,161.0,300,3.4615,450.85,304,429,163,96
Part-1025,82.0,49.8,20,394.04,100,7.0599,1344.87,80,147,61,146
Part-1026,38.8,39.1,14,183.48,50,3.7155,415.89,53,79,32,44
Part-1027,11.6,39.6,7,5844.53,75,85.2327,20751.66,38,34,6,17
Part-1028,16.8,23.2,20,2605.72,100,45.1658,6228.21,37,50,11,27
Part-1029,11.5,14.4,14,5376.6,150,107.084,12355.64,19,28,6,16
Part-1030,27.9,93.9,20,164.73,200,3.2809,482.67,151,147,70,29
Part-1031,283.3,309.2,20,391.1,100,7.7568,1808.15,498,784,65,505
Part-1032,21.8,71.5,7,5710.11,500,124.6707,24927.85,68,91,14,22
Part-1033,12.5,38.6,14,23.35,200,0.323,113.89,52,51,109,22
Part-1034,113.7,68.3,20,5166.07,200,69.3114,17464.34,110,249,21,215
